samples;total_number_of_reads;file_size;GC_content;total_number_of_bases;complete_sequence_size;average_read_size;read_size_mode;read_size_median;lowest_read_size;highest_read_size
mgm4450328;899611433;2208943;0.5832996530944126;830034195;830034195;375.76080279119924;496;400;60;16773
mgm4450628;263050742;580667;0.6199568775861893;245161137;245161137;422.2060785269354;499;471;50;1068
mgm4450629;295567205;651889;0.6263018844590115;275469722;275469722;422.5715144756239;497;469;50;927
mgm4450630;348895247;791219;0.6260481116935999;324478538;324478538;410.09952743804183;484;438;50;1075
mgm4450631;323288562;731763;0.6261383703387854;300714968;300714968;410.9458499541518;490;441;50;788
mgm4450891;127401922;291787;0.42247976148082533;118467289;118467289;406.0060557872695;493;448;50;921
mgm4450892;107849310;258133;0.4137230565942827;99956740;99956740;387.22960644319016;493;432;50;675
mgm4451033;66170416;246522;0.5679299173378957;58639325;58639325;237.86649873033645;230;227.0;50;568
mgm4451034;61936031;228672;0.557377599821421;54958294;54958294;240.33678806325216;225;231.0;50;567
mgm4451035;59659863;212588;0.5747585107016507;53180721;53180721;250.15862137091463;226;240.0;50;572
mgm4451036;54900004;214254;0.5584538473020653;48369220;48369220;225.75643861958235;222;215.0;50;563
mgm4451102;289452469;667075;0.5058634963411991;268883855;268883855;403.0788966757861;499;445;50;758
mgm4451593;265644459;688359;0.4850578317485676;244415833;244415833;355.07029471540284;413;377;50;1196
mgm4453246;387263149;970670;0.6051267345153358;357283451;357283451;368.0792143570936;497;395.0;50;1771
mgm4453247;503604445;1090815;0.6141580453087655;469809402;469809402;430.6957660098183;500;481;50;2041
mgm4453254;347757770;886361;0.6199514184631938;320391676;320391676;361.46860703483117;493;382;50;1643
mgm4453256;539802173;1130769;0.6136783009950949;504728431;504728431;446.358567488143;507;494;50;1705
mgm4453257;419671703;942243;0.6121279322985612;390573206;390573206;414.5143089415363;499;464;50;1555
mgm4453261;499227905;1125888;0.6144509056262212;464310485;464310485;412.3949140589472;500;453.0;50;1967
mgm4453274;277884747;738829;0.6039590691263019;255092136;255092136;345.2654619675189;499;402;50;794
mgm4453304;28890727;66350;0.40823894563981566;26911259;26911259;405.5954634513941;478;438.0;50;657
mgm4453305;14092790;31236;0.46244170000174684;13166810;13166810;421.5267639902676;471;448.0;100;686
mgm4453371;31880283;79154;0.3946454087800888;29516763;29516763;372.90298658311644;490;414.0;100;711
mgm4453372;12913151;39633;0.4502463685520837;11735264;11735264;296.0983019201171;124;255;100;688
mgm4453374;49011656;110823;0.41760928761766547;45687152;45687152;412.25334091298737;479;443;50;651
mgm4453375;32314501;73030;0.4780590367113906;30134707;30134707;412.6346296042722;487;448.0;50;650
mgm4453376;43563476;97172;0.4732517684648553;40659417;40659417;418.4272938706623;487;454.0;50;650
