"samples","file_size","total_number_of_reads","GC_content","total_number_of_bases","complete_sequence_length","average_read_size","read_size_mode","read_size_median","lowest_read_size","highest_read_size","life_style","biosphere","ecosystem","habitat","country","latitude","longitude","seq_method"
"mgm4468639",22531741,50379,0.478387526204967,21030841,21030841,417.452529823935,484,475,50,773,"free-living","marine","saline_water","oceanic_seawater","Brazil",0.933333333333333,-29.3666666666667,"454"
"mgm4470861",297242219,536505,0.605285807171475,280721175,280721175,523.24055693796,520,521,50,1200,"free-living","terrestrial","soil","contaminated_soil","Brazil",-23.8658333,-46.4375278,"454"
"mgm4477749",77020038,139615,0.629770534579422,72802952,72802952,521.455087204097,513,519,58,1200,"host-associated","terrestrial","plant_associated","rhizosphere","Brazil",-11.6832502,-55.8357663,"454"
"mgm4477751",73435015,132931,0.628724372971931,69425042,69425042,522.263745853112,519,518,60,1200,"host-associated","terrestrial","plant_associated","rhizosphere","Brazil",-11.6832502,-55.8357663,"454"
"mgm4477755",72495197,131761,0.625321096017078,68521560,68521560,520.044322675147,512,518,53,1200,"host-associated","terrestrial","plant_associated","rhizosphere","Brazil",-11.6832502,-55.8357663,"454"
"mgm4477757",75958418,137991,0.621654072818375,71791797,71791797,520.264343326739,516,518,64,1200,"free-living","terrestrial","soil","agricultural_soil","Brazil",-11.6832502,-55.8357663,"454"
"mgm4477789",71386123,129288,0.619829215290241,67489297,67489297,522.007433017759,517,519,57,1200,"free-living","terrestrial","soil","agricultural_soil","Brazil",-11.6832502,-55.8357663,"454"
"mgm4477790",74221749,134684,0.621857063965428,70157648,70157648,520.90558640967,514,518,60,1199,"free-living","terrestrial","soil","agricultural_soil","Brazil",-11.6832502,-55.8357663,"454"
"mgm4478030",72163880,131504,0.626822588695505,68197847,68197847,518.599031208176,512,519,59,1200,"host-associated","terrestrial","plant_associated","rhizosphere","Brazil",-11.6832502,-55.8357663,"454"
"mgm4478037",62596987,112426,0.625578415448018,59222355,59222355,526.767429242346,518,521,57,1200,"host-associated","terrestrial","plant_associated","rhizosphere","Brazil",-11.7412664,-56.2533385,"454"
"mgm4478222",73217076,131922,0.620625823108916,69238255,69238255,524.842368975607,512,520,55,1200,"free-living","terrestrial","soil","agricultural_soil","Brazil",-11.7412664,-56.2533385,"454"
"mgm4478283",73300131,131994,0.625785316516921,69319343,69319343,525.170409261027,514,520,52,1200,"free-living","terrestrial","soil","agricultural_soil","Brazil",-11.7412664,-56.2533385,"454"
"mgm4478290",76798415,138616,0.634975165181569,72612369,72612369,523.838294280603,515,519,58,1200,"host-associated","terrestrial","plant_associated","rhizosphere","Brazil",-11.6832502,-55.8357663,"454"
"mgm4478291",55742385,100255,0.628300746895066,52745562,52745562,526.114029225475,519,520,53,1200,"host-associated","terrestrial","plant_associated","rhizosphere","Brazil",-11.6832502,-55.8357663,"454"
"mgm4478292",65946899,118790,0.633559853582754,62375439,62375439,525.089982321744,517,520,56,1200,"host-associated","terrestrial","plant_associated","rhizosphere","Brazil",-11.6832502,-55.8357663,"454"
"mgm4478294",70779904,127664,0.625672076555969,66933409,66933409,524.293528324351,517,520,58,1200,"free-living","terrestrial","soil","agricultural_soil","Brazil",-11.6832502,-55.8357663,"454"
"mgm4478934",13296128,10137,0.737864626456056,13003102,13003102,1282.73670711256,1600,1587,50,1601,"host-associated","terrestrial","plant_associated","rhizosphere","Brazil",-11.7412664,-56.2533385,"454"
"mgm4478936",72819621,131758,0.631493226955572,68846219,68846219,522.52021888614,513,519,59,1200,"free-living","terrestrial","soil","agricultural_soil","Brazil",-11.6832502,-55.8357663,"454"
"mgm4478937",75842215,136959,0.62767881365739,71707582,71707582,523.569696040421,512,520,65,1200,"free-living","terrestrial","soil","agricultural_soil","Brazil",-11.6832502,-55.8357663,"454"
"mgm4478938",65349674,118173,0.638168473774696,61797357,61797357,522.939732426189,522,519,55,1200,"host-associated","terrestrial","plant_associated","rhizosphere","Brazil",-11.6832502,-55.8357663,"454"
"mgm4478939",69678520,125712,0.636676758474742,65892388,65892388,524.153525518646,513,519,51,1200,"host-associated","terrestrial","plant_associated","rhizosphere","Brazil",-11.7412664,-56.2533385,"454"
"mgm4478940",72587891,131350,0.629511495277903,68627136,68627136,522.475340692806,511,519,52,1200,"free-living","terrestrial","soil","agricultural_soil","Brazil",-11.7412664,-56.2533385,"454"
"mgm4478941",74379080,134244,0.627674507863395,70328593,70328593,523.886304043384,515,520,64,1200,"free-living","terrestrial","soil","agricultural_soil","Brazil",-11.7412664,-56.2533385,"454"
"mgm4478943",61253655,110366,0.632877022551178,57943404,57943404,525.011362194879,516,520,53,1200,"free-living","terrestrial","soil","agricultural_soil","Brazil",-11.7412664,-56.2533385,"454"
"mgm4479311",76196466,137818,0.637734623710207,72035079,72035079,522.682661190846,512,519,51,1200,"host-associated","terrestrial","plant_associated","rhizosphere","Brazil",-11.7412664,-56.2533385,"454"
"mgm4479361",1166694412,1819972,0.50524728931322,1109566226,1109566226,609.66115192981,521,570,50,1200,"free-living","terrestrial","soil","compost","Brazil",-23,-46,"454"
"mgm4479944",1023111084,1618984,0.44654014732201,972414511,972414511,600.632564003103,542,569,50,1201,"free-living","terrestrial","soil","compost","Brazil",-23,-46,"454"
"mgm4481541",278207925,756582,0.365639336036781,254864720,254864720,336.863314221063,365,348,50,1015,"free-living","marine","saline_water","hydrothermal_vent","Pacific Ocean",47.95,-129.0968333,"454"
"mgm4491635",20194006,47954,0.444248054137365,18766484,18766484,391.343454143554,557,427,60,795,"free-living","freshwater","freshwater","lake","Germany",54.3333,10.3333,"454"
"mgm4491637",25075379,59774,0.462713691152224,23293255,23293255,389.688744270084,557,421,60,781,"free-living","freshwater","freshwater","lake","Germany",54.3333,10.3333,"454"
"mgm4491639",21342491,56307,0.435215313457426,19664377,19664377,349.235032944394,623,352,60,823,"free-living","freshwater","freshwater","lake","USA",32.7753,-117.0722,"454"
"mgm4491641",22448077,47696,0.375154345653134,21028289,21028289,440.881604327407,557,477,60,830,"free-living","freshwater","freshwater","lake","Germany",54.3333,10.3333,"454"
"mgm4491642",13406029,37282,0.467393033948049,12298645,12298645,329.881578241511,409,384,60,800,"free-living","freshwater","freshwater","lake","USA",32.7753,-117.0722,"454"
"mgm4491643",16997125,44475,0.620366074500088,15673968,15673968,352.421989881956,487,425,60,845,"free-living","freshwater","freshwater","lake","USA",32.5046,-117.0017,"454"
"mgm4491645",5979892,21298,0.504088147026807,5352058,5352058,251.293924312142,60,224,60,835,"free-living","freshwater","freshwater","lake","USA",32.7753,-117.0722,"454"
"mgm4491646",6624499,20345,0.606198324681121,6025241,6025241,296.153403784714,490,299,60,834,"free-living","freshwater","freshwater","lake","USA",32.5046,-117.0017,"454"
"mgm4492800",5687101,14270,0.370023508079444,5270103,5270103,369.31345480028,397,396,50,722,"host-associated","terrestrial","animal_host-associated","animal_feces","USA",42.3056,-71.52,"454"
"mgm4492801",7638844,19543,0.418466228676581,7063478,7063478,361.432635726347,408,379,50,761,"host-associated","terrestrial","animal_host-associated","animal_feces","USA",42.3056,-71.52,"454"
"mgm4492811",6249866,15932,0.378549971606452,5783004,5783004,362.980416771278,388,387,50,910,"host-associated","terrestrial","animal_host-associated","animal_feces","USA",42.3056,-71.52,"454"
"mgm4496433",243033421,495436,0.527374391037588,227785816,227785816,459.768397936363,512,511,50,1127,"host-associated","terrestrial","human_host-associated","saliva","Switzerland",46.19,6.15,"454"
"mgm4496841",14903331,39669,0.469907385143676,13724364,13724364,345.972018452696,470,388,50,757,"free-living","terrestrial","soil","meadow_soil","French Republic",45.05,6.38,"454"
"mgm4503259",35584462,77978,0.521308869706152,33256175,33256175,426.481507604709,489,464,60,842,"host-associated","terrestrial","human_host-associated","lung","USA",32.715786,-117.158339833333,"454"
"mgm4503260",26628323,54704,0.44563662286117,24998309,24998309,456.974060397777,533,492,60,863,"host-associated","terrestrial","human_host-associated","lung","USA",32.715786,-117.158339833333,"454"
"mgm4503261",20087458,43317,0.58549637271545,18799049,18799049,433.987787704596,483,468,60,718,"host-associated","terrestrial","human_host-associated","lung","USA",32.715786,-117.158339833333,"454"
"mgm4503262",26861709,58451,0.591075701398348,25119285,25119285,429.749448255804,490,470,60,831,"host-associated","terrestrial","human_host-associated","lung","USA",32.715786,-117.158339833333,"454"
