"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem"
"mgm4639044","stream","biofilm material","microbial mat|biofilm",NA,"Fenwick_biofilm","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",38.984951,-77.041723,"small river biome","mgp14051","free-living","stream_biofilm","freshwater","freshwater"
"mgm4639045","stream","biofilm material","microbial mat|biofilm",NA,"Gambrill_biofilm","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",39.367842,-77.388236,"small river biome","mgp14051","free-living","stream_biofilm","freshwater","freshwater"
"mgm4639046","stream","biofilm material","microbial mat|biofilm",NA,"HAFE_biofilm","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",39.29577,-77.792231,"small river biome","mgp14051","free-living","stream_biofilm","freshwater","freshwater"
"mgm4639047","stream","biofilm material","microbial mat|biofilm",NA,"JoeBrooks_biofilm","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",39.633364,-77.450235,"small river biome","mgp14051","free-living","stream_biofilm","freshwater","freshwater"
"mgm4639048","stream","biofilm material","microbial mat|biofilm",NA,"Monocacy_YB_biofilm","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",38.817849,-77.510242,"small river biome","mgp14051","free-living","stream_biofilm","freshwater","freshwater"
"mgm4639049","stream","biofilm material","microbial mat|biofilm",NA,"Orenda_biofilm","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",38.562813,-77.357536,"small river biome","mgp14051","free-living","stream_biofilm","freshwater","freshwater"
"mgm4639050","stream","biofilm material","microbial mat|biofilm",NA,"Owens1_biofilm","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",39.661676,-77.481384,"small river biome","mgp14051","free-living","stream_biofilm","freshwater","freshwater"
"mgm4639051","stream","biofilm material","microbial mat|biofilm",NA,"Owens2_biofilm","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",39.672006,-77.454977,"small river biome","mgp14051","free-living","stream_biofilm","freshwater","freshwater"
"mgm4639052","stream","biofilm material","microbial mat|biofilm",NA,"Oxon_biofilm","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",38.810858,-77.009346,"small river biome","mgp14051","free-living","stream_biofilm","freshwater","freshwater"
"mgm4639053","stream","biofilm material","microbial mat|biofilm",NA,"PWFP_TR_biofilm","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",38.575744,-77.375646,"small river biome","mgp14051","free-living","stream_biofilm","freshwater","freshwater"
