" project_id","latitude","longitude","ecosystem","Habitat","n","Realm ","Biome","Functional group"
"mgp80424","37.32","127.12","Animal host","animal_manure",8,"Terrestrial","Intensive land use","Urban and industrial ecosystems"
"mgp79614","37.37","126.65","Animal host","animal_manure",3,"Marine","Pelagic ocean waters","Epipelagic ocean waters"
"mgp5969","-87.17","20.59","Saline water","anoxic_seawater",2,"Subterranean-Marine","Subterranean tidal","Anchialine caves"
"mgp2265","20.1","70.8","Saline water","anoxic_seawater",1,"Marine","Marine shelf",
"mgp2265","20.11","70.41","Saline water","anoxic_seawater",2,"Marine","Marine shelf",
"mgp2265","20.12","70.79","Saline water","anoxic_seawater",1,"Marine","Marine shelf",
"mgp5969","20.91","-88.87","Saline water","anoxic_seawater",2,"Subterranean-Marine","Subterranean tidal","Anchialine caves"
"mgp80732","34.4","118.92","Animal host","aqueous_humour",2,"Terrestrial","Intensive land use","Sown pastures and fields"
"mgp80801","34.4","118.92","Animal host","aqueous_humour",2,"Terrestrial","Intensive land use","Sown pastures and fields"
"mgp80802","34.4","118.92","Animal host","aqueous_humour",2,"Terrestrial","Intensive land use","Sown pastures and fields"
"mgp80803","34.4","118.92","Animal host","aqueous_humour",2,"Terrestrial","Intensive land use","Sown pastures and fields"
"mgp15058","35.19","-102.06","Animal host","beef",31,"Terrestrial","Intensive land use","Sown pastures and fields"
"mgp4126","-38.23","145.93","Animal host","bodily_fluid",61,"Terrestrial","Intensive land use","Sown pastures and fields"
"mgp4419","-38.23","145.93","Animal host","bodily_fluid",23,"Terrestrial","Intensive land use","Sown pastures and fields"
"mgp21","33.54","-116.1","Animal host","bodily_fluid",8,"Freshwater","Artificial wetlands","Freshwater aquafarms"
"mgp15975","41.5","-81.62","Animal host","bodily_fluid",14,"Terrestrial","Intensive land use","Urban and industrial ecosystems"
"mgp6020","62.23","-105.38","Animal host","bodily_fluid",65,"Terrestrial","Temperate-boreal forests and woodlands","Boreal and temperate high montane forests and woodlands"
"mgp80275","62.23","-105.38","Animal host","bodily_fluid",14,"Terrestrial","Temperate-boreal forests and woodlands","Boreal and temperate high montane forests and woodlands"
"mgp8991","35.69","139.69","Animal host","bone",42,"Terrestrial","Intensive land use","Urban and industrial ecosystems"
"mgp16074","28.57","-15.77","Animal host","cheese_associated_biofilm",1,,,
"mgp16074","40.5","16.5","Animal host","cheese_associated_biofilm",1,,,
"mgp16074",41,-1,"Animal host","cheese_associated_biofilm",1,,,
"mgp16074","41.7","-73.92","Animal host","cheese_associated_biofilm",1,,,
"mgp16074","42.2","-73.36","Animal host","cheese_associated_biofilm",1,,,
"mgp16074","42.44","-123.17","Animal host","cheese_associated_biofilm",1,,,
"mgp16074","42.62","-76.72","Animal host","cheese_associated_biofilm",1,,,
"mgp16074","42.71","-73.2","Animal host","cheese_associated_biofilm",1,,,
"mgp16074","43.6","1.44","Animal host","cheese_associated_biofilm",1,,,
"mgp16074","44.39","-73.26","Animal host","cheese_associated_biofilm",1,,,
"mgp16074","44.49","-68.32","Animal host","cheese_associated_biofilm",1,,,
"mgp16074","44.58",0,"Animal host","cheese_associated_biofilm",2,,,
"mgp16074","44.73","-72.38","Animal host","cheese_associated_biofilm",1,,,
"mgp16074","44.77","-9.02","Animal host","cheese_associated_biofilm",1,,,
"mgp16074","45.33",3,"Animal host","cheese_associated_biofilm",1,,,
"mgp16074","52.5","-1.83","Animal host","cheese_associated_biofilm",1,,,
"mgp12128","40.1","-88.23","Animal host","chyme",1,"Terrestrial","Intensive land use","Sown pastures and fields"
"mgp9847","40.76","-111.89","Animal host","chyme",8,"Terrestrial","Deserts and semi-deserts","Cool deserts and semi-deserts"
"mgp10520","42.18","-114.77","Animal host","chyme",3,"Terrestrial","Deserts and semi-deserts","Cool deserts and semi-deserts"
"mgp19999","53.3","-113.5","Animal host","chyme",44,"Terrestrial","Intensive land use","Sown pastures and fields"
"mgp82056","-26.42","114.28","Sediment","coastal_marine_sediment",160,"Marine-Terrestrial","Shorelines ",
"mgp14795","-26.06","113.73","Sediment","coastal_marine_sediment",3,"Marine-Terrestrial","Shorelines ",
"mgp14795","-25.93","113.75","Sediment","coastal_marine_sediment",3,"Marine-Terrestrial","Shorelines ",
"mgp14795","-25.86","113.78","Sediment","coastal_marine_sediment",3,"Marine-Terrestrial","Shorelines ",
"mgp14795","-25.82","113.83","Sediment","coastal_marine_sediment",3,"Marine-Terrestrial","Shorelines ",
"mgp14795","-25.77","113.72","Sediment","coastal_marine_sediment",3,"Marine-Terrestrial","Shorelines ",
"mgp14795","-25.62","113.59","Sediment","coastal_marine_sediment",3,"Marine-Terrestrial","Shorelines ",
"mgp19284","-22.98","-43.41","Sediment","coastal_marine_sediment",1,"Marine-Terrestrial","Shorelines ",
"mgp358","14.35","137.35","Sediment","coastal_marine_sediment",1,"Freshwater-Marine","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"mgp13161",24,106,"Sediment","coastal_marine_sediment",2,"Marine-Terrestrial","Shorelines ",
"mgp7309","29.18","-90.07","Sediment","coastal_marine_sediment",3,"Marine-Terrestrial","Shorelines ",
"mgp2734","29.19","-88.6","Sediment","coastal_marine_sediment",1,"Marine-Terrestrial","Shorelines ",
"mgp18266","30.21","120.85","Sediment","coastal_marine_sediment",1,"Marine-Terrestrial","Shorelines ",
"mgp18266","30.42","121.04","Sediment","coastal_marine_sediment",2,"Marine-Terrestrial","Shorelines ",
"mgp18266","30.62","121.36","Sediment","coastal_marine_sediment",2,"Marine-Terrestrial","Shorelines ",
"mgp18266","30.75","122.75","Sediment","coastal_marine_sediment",2,"Marine-Terrestrial","Shorelines ",
"mgp18266","30.85","122.07","Sediment","coastal_marine_sediment",2,"Marine-Terrestrial","Shorelines ",
"mgp358","33.1","128.02","Sediment","coastal_marine_sediment",1,"Freshwater-Marine","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"mgp358","35.55","138.88","Sediment","coastal_marine_sediment",1,"Freshwater-Marine","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"mgp358","35.79","139.31","Sediment","coastal_marine_sediment",1,"Freshwater-Marine","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"mgp358","35.94","139.49","Sediment","coastal_marine_sediment",1,"Freshwater-Marine","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"mgp358","36.17","139.65","Sediment","coastal_marine_sediment",1,"Freshwater-Marine","Semi-confined transitional waters","Intermittently closed and open lakes and lagoons"
"mgp13419","37.07","-8.33","Sediment","coastal_marine_sediment",6,"Marine","Marine shelf",
"mgp80013","40.78","-96.66","Animal host","animal_feces",1,"Terrestrial ","Intensive land use","Urban and industrial ecosystems"
"mgp80013","40.8","-96.7","Animal host","animal_feces",1,"Terrestrial ","Intensive land use","Urban and industrial ecosystems"
"mgp4836","42.81","10.14","Sediment","coastal_marine_sediment",1,"Marine-Terrestrial","Shorelines ",
"mgp7332","53.48","6.16","Sediment","coastal_marine_sediment",2,"Marine-Terrestrial","Shorelines ",
"mgp10047","53.49","6.14","Sediment","coastal_marine_sediment",5,"Marine-Terrestrial","Shorelines ",
"mgp9119","60.16","21.24","Sediment","coastal_marine_sediment",1,"Marine-Terrestrial","Shorelines ",
"mgp9119","60.27","21.41","Sediment","coastal_marine_sediment",4,"Marine-Terrestrial","Shorelines ",
"mgp2964","78.02","165.55","Sediment","coastal_marine_sediment",1,"Marine-Terrestrial","Shorelines ",
"mgp2964","83.08","74.43","Sediment","coastal_marine_sediment",1,"Marine-Terrestrial","Shorelines ",
"mgp2964","89.03","71.56","Sediment","coastal_marine_sediment",1,"Marine-Terrestrial","Shorelines ",
"mgp14849","-45.84","171.54","Saline water","coastal_seawater",2,"Marine","Marine shelf",
"mgp14849","-45.84","171.55","Saline water","coastal_seawater",2,"Marine","Marine shelf",
"mgp14849","-45.8","171.02","Saline water","coastal_seawater",2,"Marine","Marine shelf",
"mgp20252","-45.74","170.77","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","-36.29","174.82","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","-34.68","-54.28","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","-34.42","-54.16","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","-34.37","-54.16","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp5369","-33.98","151.23","Saline water","coastal_seawater",2,"Marine","Marine shelf",
"mgp20252","-33.94","18.47","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp6331","-22.98","-42.01","Saline water","coastal_seawater",2,"Marine","Marine shelf",
"mgp1929","-22.92","-43.15","Saline water","estuarine_seawater",9,"Freshwater-Marine","Semi-confined transitional waters","Permanently open riverine estuaries and bays"
"mgp2222","-22.74","-41.87","Saline water","coastal_seawater",2,"Marine","Marine shelf","Subtidal rocky reef"
"mgp20252","-17.29","-149.54","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp6556","-12.37",-77,"Saline water","coastal_seawater",6,"Marine","Marine shelf",
"mgp20252","-8.7","40.66","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","1.27","103.92","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp8766","3.51","-50.5","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp8766","6.37","-51.39","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp8766","08.02","-50.98","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","8.52","81.05","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp8766","11.57","-56.81","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","16.8","88.08","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","21.27","-157.72","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","21.29","-157.84","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","21.29","-156.86","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","24.74","-80.78","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","26.1","-80.09","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp7","26.2","-93.94","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","27.04","33.91","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","27.47","-80.28","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","27.62","-82.73","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp82106","27.73","-114.19","Saline water","coastal_seawater",24,"Marine","Marine shelf",
"mgp82106","27.77","-114.25","Saline water","coastal_seawater",28,"Marine","Marine shelf",
"mgp20252","29.47","34.93","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","30.25","-88.75","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","31.22","29.97","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","31.38","-80.87","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","31.98","-81.02","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","32.07","34.84","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp82857","32.4","09.02","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","32.65","-16.91","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp5542","32.73","-117.21","Saline water","coastal_seawater",14,"Marine","Marine shelf",
"mgp20252","32.74","-16.71","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp79744","32.74","09.03","Saline water","coastal_seawater",2,"Freshwater","Lakes","Permanent salt and soda lakes"
"mgp80120","32.74","09.03","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","32.75","-9.04","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","32.75","79.9","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","32.77","-16.83","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","32.82","32.95","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","32.87","-117.26","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","33.26","-8.5","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp10988","33.45","-118.49","Saline water","coastal_seawater",2,"Marine","Marine shelf",
"mgp10459","33.55","-118.4","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp10988","33.55","-118.4","Saline water","coastal_seawater",4,"Marine","Marine shelf",
"mgp20252","33.55","-118.4","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","33.58","-7.7","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp10988","33.72","-118.24","Saline water","coastal_seawater",2,"Marine","Marine shelf",
"mgp20252","34.32","135.12","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","34.41","-9.51","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","34.72","-76.67","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252",35,33,"Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","35.09","-2.21","Saline water","coastal_seawater",2,"Marine","Marine shelf",
"mgp79744","35.11","2.52","Saline water","coastal_seawater",2,"Freshwater","Lakes","Permanent salt and soda lakes"
"mgp80120","35.11","2.52","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","35.19","-2.88","Saline water","coastal_seawater",1,"Marine","Marine shelf",
"mgp20252","35.35","25.29","Saline water","coastal_seawater",1,"Marine","Marine shelf",
