"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem","PI_lastname","seq_meth"
"mgm4600904","forest","soil","soil",NA,"II-P-1-1.fastq","HaloProc_2","metagenome","WGS",NA,"Germany",48.506667,90.41389,"Temperate broadleaf and mixed forest biome","mgp11442","free-living","forest_soil","terrestrial","soil","weigold","illumina"
"mgm4600905","forest","soil","soil",NA,"II-P-1-2.fastq","HaloProc_2","metagenome","WGS",NA,"Germany",48.506667,90.41389,"Temperate broadleaf and mixed forest biome","mgp11442","free-living","forest_soil","terrestrial","soil","weigold","illumina"
"mgm4600906","forest","soil","soil",NA,"II-P-2-1.fastq","HaloProc_2","metagenome","WGS",NA,"Germany",48.506667,90.41389,"Temperate broadleaf and mixed forest biome","mgp11442","free-living","forest_soil","terrestrial","soil","weigold","illumina"
"mgm4600907","forest","soil","soil",NA,"II-P-2-2.fastq","HaloProc_2","metagenome","WGS",NA,"Germany",48.506667,90.41389,"Temperate broadleaf and mixed forest biome","mgp11442","free-living","forest_soil","terrestrial","soil","weigold","illumina"
"mgm4600908","forest","soil","soil",NA,"Of-1-1.fastq","HaloProc_2","metagenome","WGS",NA,"Germany",48.506667,90.41389,"Temperate broadleaf and mixed forest biome","mgp11442","free-living","forest_soil","terrestrial","soil","weigold","illumina"
"mgm4600909","forest","soil","soil",NA,"Of-1-2.fastq","HaloProc_2","metagenome","WGS",NA,"Germany",48.506667,90.41389,"Temperate broadleaf and mixed forest biome","mgp11442","free-living","forest_soil","terrestrial","soil","weigold","illumina"
"mgm4600910","forest","soil","soil",NA,"Of-2-1.fastq","HaloProc_2","metagenome","WGS",NA,"Germany",48.506667,90.41389,"Temperate broadleaf and mixed forest biome","mgp11442","free-living","forest_soil","terrestrial","soil","weigold","illumina"
"mgm4600911","forest","soil","soil",NA,"Of-2-2.fastq","HaloProc_2","metagenome","WGS",NA,"Germany",48.506667,90.41389,"Temperate broadleaf and mixed forest biome","mgp11442","free-living","forest_soil","terrestrial","soil","weigold","illumina"
"mgm4621065","ridge","soil","soil",NA,"E25-48","Walker Branch Watershed","metagenome","WGS","north america","USA",35.962945,-84.27895,"Temperate broadleaf and mixed forest biome","mgp12756","free-living","forest_soil","terrestrial","soil","schadt","illumina"
"mgm4621360","ridge","soil","soil",NA,"E25-CoreProfile-44_PEReads","Walker Branch Watershed","metagenome","WGS","north america","USA",35.962945,-84.27895,"Temperate broadleaf and mixed forest biome","mgp12756","free-living","forest_soil","terrestrial","soil","schadt","illumina"
"mgm4621361","ridge","soil","soil",NA,"E25-CoreProfile-45_PEReads","Walker Branch Watershed","metagenome","WGS","north america","USA",35.962945,-84.27895,"Temperate broadleaf and mixed forest biome","mgp12756","free-living","forest_soil","terrestrial","soil","schadt","illumina"
