"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem"
"mgm4552983","organic feature","mucus","human-associated",NA,"SCON06","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated"
"mgm4569530","arable soil","arable soil","soil",NA,"C2.subsample","Soil bacterial community diversity and function (redclay and diesel)","metagenome","WGS",NA,"South Korea",37.5034138,126.7660309,"Temperate broadleaf and mixed forest biome","mgp9626","free-living","agricultural_soil","terrestrial","soil"
"mgm4569531","arable soil","arable soil","soil",NA,"C5.subsample","Soil bacterial community diversity and function (redclay and diesel)","metagenome","WGS",NA,"South Korea",37.5034138,126.7660309,"Temperate broadleaf and mixed forest biome","mgp9626","free-living","agricultural_soil","terrestrial","soil"
"mgm4569533","arable soil","arable soil","soil",NA,"D5.subsample","Soil bacterial community diversity and function (redclay and diesel)","metagenome","WGS",NA,"South Korea",37.5034138,126.7660309,"Temperate broadleaf and mixed forest biome","mgp9626","free-living","agricultural_soil","terrestrial","soil"
"mgm4569534","arable soil","arable soil","soil",NA,"P2.subsample","Soil bacterial community diversity and function (redclay and diesel)","metagenome","WGS",NA,"South Korea",37.5034138,126.7660309,"Temperate broadleaf and mixed forest biome","mgp9626","free-living","agricultural_soil","terrestrial","soil"
"mgm4569535","arable soil","arable soil","soil",NA,"P5.subsample","Soil bacterial community diversity and function (redclay and diesel)","metagenome","WGS",NA,"South Korea",37.5034138,126.7660309,"Temperate broadleaf and mixed forest biome","mgp9626","free-living","agricultural_soil","terrestrial","soil"
"mgm4569536","arable soil","arable soil","soil",NA,"R2.subsample","Soil bacterial community diversity and function (redclay and diesel)","metagenome","WGS",NA,"South Korea",37.5034138,126.7660309,"Temperate broadleaf and mixed forest biome","mgp9626","free-living","agricultural_soil","terrestrial","soil"
"mgm4569537","arable soil","arable soil","soil",NA,"R5.subsample","Soil bacterial community diversity and function (redclay and diesel)","metagenome","WGS",NA,"South Korea",37.5034138,126.7660309,"Temperate broadleaf and mixed forest biome","mgp9626","free-living","agricultural_soil","terrestrial","soil"
"mgm4600900","forest","soil","soil",NA,"Ah-1-1.fastq","HaloProc_2","metagenome","WGS",NA,"Germany",48.506667,90.41389,"Temperate broadleaf and mixed forest biome","mgp11442","free-living","forest_soil","terrestrial","soil"
"mgm4600901","forest","soil","soil",NA,"Ah-1-2.fastq","HaloProc_2","metagenome","WGS",NA,"Germany",48.506667,90.41389,"Temperate broadleaf and mixed forest biome","mgp11442","free-living","forest_soil","terrestrial","soil"
